SOURCE	TARGET
على	على	UC
مقاعدنا	مقاعدنا	UC
.	.	UC
لعد	بعد	REPLACE_MI
فطرة	فترة	REPLACE_OR
اليسيرة	يسيرة	REPLACE_XF
جاء	جاء	UC
الموظف	الموظف	UC
وقال	وقال	UC
	:	INSERT_PM
أين	أين	UC
هؤلاء	هؤلاء	UC
الذين	الذين	UC
أسمائهم	أسماؤهم	REPLACE_XC
ياسرا	ياسرا	UC
(	(	UC
يسرى	يسرى	UC
)	)	UC
ومصاب	ومصاب	UC
(	(	UC
مصعب	مصعب	UC
)	)	UC
وبقيتهم	وبقيتهم	UC
.	؟	REPLACE_PC
وخفنا	وخفنا	UC
لماذا	لماذا	UC
هذا	هذا	UC
الرجل	الرجل	UC
يدعو لنا	يدعونا	UNK
.	؟	REPLACE_PC
وهو	وهو	UC
قال	قال	UC
:	:	UC
خذوا	خذوا	UC
اغراضكم	أغراضكم	REPLACE_OH
وأخرجوا	واخرجوا	REPLACE_OH
من	من	UC
الطائرة	الطائرة	UC
	!	INSERT_PM
سألناه	سألناه	UC
أي	أي	UC
مشكلة	مشكلة	UC
؟	؟	UC
هو	هو	UC
قال	قال	UC
	:	INSERT_PM
اصبروا	اصبروا	UC
.	!	REPLACE_PC
وبدأنا	وبدأنا	UC
دعاء	الدعاء	REPLACE_XF
إلى	إلى	UC
الله	الله	UC
من	من	UC
الخوف	الخوف	UC
	،	INSERT_PM
وظننا	وظننا	UC
	أن	INSERT_XM
هناك	هناك	UC
الشيء	شيئا	REPLACE_SW
الذي طلع	وجده في	REPLACE_SW
من		DELETE_XM
أغراضنا	أغراضنا	UC
	،	INSERT_PM
بعد	بعد	UC
فترة	فترة	UC
اليسيرة	يسيرة	REPLACE_XF
هو		DELETE_XM
يخبرنا	أخبرنا	REPLACE_MT
أن	أن	UC
الطائرة	الطائرة	UC
التي	التي	UC
ركبتم	ركبتم	UC
للأبو	بها لأبو	UNK
ظبي	ظبي	UC
.	،	REPLACE_PC
وبعدها	وبعدها	UC
ركبنا	ركبنا	UC
في	في	UC
طائرة	طائرة	UC
الأخرى	أخرى	REPLACE_XF
للمملكة	للمملكة	UC
.	،	REPLACE_PC
وبقية	وبقية	UC
الرحلة	الرحلة	UC
كانت	كانت	UC
ممتعة	ممتعة	UC
.	.	UC

التخصص	التخصص	UC
	.	INSERT_PM
كل	كل	UC
شاب	شاب	UC
أو	أو	UC
طالب	طالب	UC
علم	علم	UC
	لديه	INSERT_XM
أمنية	أمنية	UC
يتعلق	تتعلق	REPLACE_MI
بمستقبله	بمستقبله	UC
من	من	UC
ع مل	عمل	MERGE
أو	أو	UC
تخصص	تخصص	UC
.	.	UC
أنا	أنا	UC
طالبة	طالبة	UC
في	في	UC
معهد	معهد	UC
اللغة	اللغة	UC
العربية	العربية	UC
بجامعة	بجامعة	UC
الأميرة	الأميرة	UC
نورة	نورة	UC
،	،	UC
أتمنى	أتمنى	UC
أن	أن	UC
أتخرج	أتخرج	UC
فى	من	REPLACE_SW
هذا	هذا	UC
الفصل	الفصل	UC
الأول	الأول	UC
،	،	UC
وألتحق	وألتحق	UC
بكلية	بكلية	UC
الشريعة	الشريعة	UC
الإسلامية	الإسلامية	UC
،	،	UC
وإذا	وإذا	UC
من	من	UC
الله	الله	UC
علي	علي	UC
أن	أن	UC
أقبل	أقبل	UC
في	في	UC
الدراسات	الدراسات	UC
العليا	العليا	UC
،	،	UC
أتمنى	أتمنى	UC
أن	أن	UC
أتخصص	أتخصص	UC
في	في	UC
"	"	UC
الفقه	الفقه	UC
"	"	UC
اخترت	اخترت	UC
هذا	هذا	UC
التخصص	التخصص	UC
،		DELETE_PM
لأنني	لأنني	UC
بحاجة	بحاجة	UC
لتفقه	لتفقه	UC
أمور	أمور	UC
ديني	ديني	UC
	،	INSERT_PM
وأساعد	وأساعد	UC
أبناء	أبناء	UC
بلدي	بلدي	UC
أيضا	أيضا	UC
وخاصة	وخاصة	UC
النساء	النساء	UC
،	،	UC
لا	لا	UC
يوجد	يوجد	UC
في	في	UC
عائلتي	عائلتي	UC
أحد	أحد	UC
تخصص	تخصص	UC
في	في	UC
هذا	هذا	UC
المجال	المجال	UC
	،	INSERT_PM
ولكن	ولكن	UC
سيساعدوننى	سيساعدونني	REPLACE_OA
لأن	لأن	UC
تخصصهم	تخصصهم	UC
ليس	ليس	UC
بعيدا	بعيدا	UC
عنه	عنه	UC
:	:	UC
كالذي	كالذي	UC
تخصص	تخصص	UC
في	في	UC
"	"	UC
أصول	أصول	UC
الفقه	الفقه	UC
"	"	UC
.	.	UC
والذي	والذي	UC
شجعني	شجعني	UC
في	في	UC
اختياري	اختياري	UC
لهذا	لهذا	UC
المجال	المجال	UC
أني	أخي	REPLACE_OR
الأكبر	الأكبر	UC
حفظه	حفظه	UC
الله	الله	UC
،	،	UC
وساعده	وساعدني	REPLACE_MI
فى	في	REPLACE_OA
دراسته	دراسته	UC
،	،	UC
أنا	أنا	UC
أحب	أحب	UC
هذا	هذا	UC
التخصص	التخصص	UC
لأنه	لأنه	UC
يساعدني	يساعدني	UC
على	على	UC
التفقه	تفقه	REPLACE_MI+REPLACE_OD
أمور	أمور	UC
ديني	ديني	UC
،	،	UC
ولقد	ولقد	UC
قال	قال	UC
رسول	رسول	UC
الله	الله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
–	:	REPLACE_PC
"	"	UC
من	من	UC
يرد	يرد	UC
الله	الله	UC
به	به	UC
خيرا	خيرا	UC
يفقه	يفقهه	REPLACE_XM
في	في	UC
الدين	الدين	UC
.	.	UC
.	.	UC
.	.	UC
"	"	UC
	.	INSERT_PM

تخصصي	تخصصي	UC
مصطلح	مصطلح	UC
الحديث	الحديث	UC
والتفسير	والتفسير	UC
	.	INSERT_PM
حينما	حينما	UC
كنت	كنت	UC
طالبا	طالبا	UC
في	في	UC
بلدي	بلدي	UC
ومدرسي	ومدرسي	UC
متخصص	متخصص	UC
بمصطلح	بمصطلح	UC
الحديث	الحديث	UC
والتفسير	والتفسير	UC
،	،	UC
وكان	وكان	UC
هذا	هذا	UC
المدرس	المدرس	UC
يعرف	يعرف	UC
كثيرا	كثيرا	UC
من	من	UC
المعلومات	المعلومات	UC
التي	التي	UC
يتعلق	تتعلق	REPLACE_MI
على الأحاديث	بالأحاديث	UNK
والتفسير	والتفسير	UC
،	،	UC
وكان	وكانت	REPLACE_XG
طريقته	طريقته	UC
في	في	UC
التدريس	التدريس	UC
ممتازا	ممتازة	REPLACE_XG
.	.	UC
فأحببت	فأحببت	UC
أن	أن	UC
أكون	أكون	UC
مثله	مثله	UC
في	في	UC
المستقبل	المستقبل	UC
إن	إن	UC
شاء	شاء	UC
الله	الله	UC
،	،	UC
لذلك	لذلك	UC
اخترت	اخترت	UC
هذا	هذا	UC
التخصص	التخصص	UC
رغبا	رغبة	REPLACE_OR
من	في	REPLACE_SW
أن	أن	UC
أكون	أكون	UC
مثله	مثله	UC
.	.	UC
في	في	UC
زمن	الزمن	REPLACE_XF
الماضي	الماضي	UC
	كان	INSERT_XM
يحدث	يحدث	UC
تحريف	تحريف	UC
الأحاديث	للأحاديث	REPLACE_XM
	،	INSERT_PM
ومقالات	والأقوال	REPLACE_SW
ينتسب	تنتسب	REPLACE_MI
بأحاديث	لأحاديث	REPLACE_MI
رسول	رسول	UC
الله	الله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
	،	INSERT_PM
وليس	وليس	UC
فقط	فقط	UC
في	في	UC
الماضي	الماضي	UC
وإنما	وإنما	UC
حتى	حتى	UC
إلى	في	REPLACE_SW
هذا	هذا	UC
العصر	العصر	UC
تحدث	تحدث	UC
هذه	هذه	UC
الأمور	الأمور	UC
.	.	UC
لذا	لذا	UC
هذا	هذا	UC
التخصص	التخصص	UC
يحتاج	يحتاج	UC
بعض	بعض	UC
الطلاب	الطلاب	UC
لمعالجة	لمعالجة	UC
هذه	هذه	UC
الأمور	الأمور	UC
.	.	UC
في	في	UC
بلدنا	بلدنا	UC
هناك	هناك	UC
جماعة	جماعة	UC
من	من	UC
المسلمين	المسلمين	UC
يخاطب	تخاطب	REPLACE_MI
الناس	الناس	UC
بأحاديث	بأحاديث	UC
ضعيف	ضعيفة	REPLACE_XG
	،	INSERT_PM
أو	أو	UC
يكون	يكون	UC
هذا	هذا	UC
الحديث	الحديث	UC
منكر	منكرا	REPLACE_XC
	،	INSERT_PM
أو	أو	UC
لا	لا	UC
أصل	أصل	UC
فيه	فيه	UC
،	،	UC
والجهلاء	والجهلاء	UC
من	من	UC
الناس	الناس	UC
ما	لا	REPLACE_SW
يستطيعون	يستطيعون	UC
أن	أن	UC
يتميز	يميزوا	REPLACE_OD+REPLACE_XN
وهل	هل	REPLACE_MI
هذا	هذا	UC
الحديث	الحديث	UC
صحيح	صحيح	UC
أو	أم	REPLACE_OR
ضعيف	ضعيف	UC
.	.	UC
وصلى	وصلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
وعلى	وعلى	UC
آله	آله	UC
وصحبه	وصحبه	UC
أجمعين	أجمعين	UC
.	.	UC

أتحصص	التخصص	REPLACE_SW
في	في	UC
كلية	كلية	UC
الترجمة	الترجمة	UC
	.	INSERT_PM
أتحصص	سأتخصص	REPLACE_MT+REPLACE_OR
في	في	UC
كلية	كلية	UC
الترجمة	الترجمة	UC
.	،	REPLACE_PC
قسم	قسم	UC
اللغة	اللغة	UC
العربية	العربية	UC
والغة	واللغة	REPLACE_OM
التركية	التركية	UC
.	.	UC
جئت	جئت	UC
إلى	إلى	UC
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
لأتعلم	لأتعلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
.	،	REPLACE_PC
وبعد	وبعد	UC
الدراسة	دراسة	REPLACE_XF
البكالوريس	البكالوريوس	REPLACE_OH+REPLACE_OM
أتمن	أتمنى	REPLACE_XC
أن	أن	UC
اكون	أكون	REPLACE_OH
مترجما	مترجما	UC
إن	إن	UC
شاء	شاء	UC
الله	الله	UC
.	.	UC
وتعلمت	وتعلمت	UC
اللغة	اللغة	UC
التركية	التركية	UC
،	،	UC
مستوى	مستوى	UC
متميز	متميز	UC
.	.	UC
لماذا	لماذا	UC
أختر	اخترت	REPLACE_OH+REPLACE_OM
هذا	هذا	UC
التحصص	التخصص	REPLACE_OR
؟	؟	UC
لأن	لأني	REPLACE_XM
أنا	أنا	UC
أحب	أحب	UC
مترجة	الترجمة	REPLACE_SW
.	.	UC
وفي	وفي	UC
المستقبل	المستقبل	UC
أريد	أريد	UC
أن	أن	UC
أكون	أكون	UC
كوبري	كوبري	UC
(	(	UC
جسر	جسر	UC
)	)	UC
بين	بين	UC
جنسيتين	جنسيتين	UC
:	:	UC
أخذت	أخذت	UC
توصية	توصية	UC
من	من	UC
المدرس	المدرس	UC
.	.	UC

طريقة	طريقة	UC
للدراسة	لدراسة	REPLACE_OD
اللغة	اللغة	UC
العربية	العربية	UC
	.	INSERT_PM
أنا	أنا	UC
جئت	جئت	UC
من	من	UC
تايلاند	تايلند	REPLACE_XC
	،	INSERT_PM
قبل	قبل	UC
جئت	مجيئي	REPLACE_SW
	إلى	INSERT_XM
هنا	هنا	UC
درست	درست	UC
من	في	REPLACE_SW
بلادي	بلادي	UC
9	9	UC
سنوات	سنوات	UC
من	في	REPLACE_SW
مدرسة	مدرسة	UC
حياة	حياة	UC
الإسلام	الإسلام	UC
	،	INSERT_PM
ثم	ثم	UC
بعد	بعد	UC
ذلك	ذلك	UC
سافرت	سافرت	UC
إلى	إلى	UC
بلاد	بلاد	UC
الآخرى	أخرى	REPLACE_OH+REPLACE_XF
	مثل	INSERT_XM
بلاد	بلاد	UC
الأردن	الأردن	UC
والقطر	وقطر	REPLACE_XF
لتعلم	لتعلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
	،	INSERT_PM
درست	درست	UC
في	في	UC
الأردن	الأردن	UC
	في	INSERT_XM
الجامعة	الجامعة	UC
الأردنية	الأردنية	UC
سنة	سنة	UC
واحدة	واحدة	UC
	،	INSERT_PM
ودرست	ودرست	UC
	في	INSERT_XM
كلية	كلية	UC
الشريعة	الشريعة	UC
تخصص	تخصص	UC
أصول	أصول	UC
الفقة	الفقه	REPLACE_OT
	،	INSERT_PM
وبعد	وبعد	UC
ذلك	ذلك	UC
ذهبت	ذهبت	UC
إلى	إلى	UC
العمرة	العمرة	UC
	،	INSERT_PM
ثم	ثم	UC
زرت	زرت	UC
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
	،	INSERT_PM
وفكرت	وفكرت	UC
لماذا	لماذا	UC
أنا	أنا	UC
لم	لم	UC
أدرس	أدرس	UC
هنا	هنا	UC
	؟	INSERT_PM
لأن	لأن	UC
هنا	هنا	UC
طبيعية	طبيعة	REPLACE_OD
الإسلامية	الإسلام	REPLACE_OD
أحسن	أحسن	UC
من	من	UC
الجامعة	الجامعة	UC
الأردنية	الأردنية	UC
	،	INSERT_PM
ثم	ثم	UC
قدمت	قدمت	UC
الأوراق	الأوراق	UC
في	في	UC
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
الأولا	أولا	REPLACE_MI+REPLACE_OD
وثم	، ثم	REPLACE_MI+REPLACE_PM
قدمت	قدمت	UC
في	في	UC
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
بعد	بعد	UC
	أن	INSERT_XM
عرفت	عرفت	UC
	أن	INSERT_XM
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
ما	ما	UC
قبلت	قبلتني	REPLACE_MI
	،	INSERT_PM
أنا	أنا	UC
قدمت	قدمت	UC
الأوراق	الأوراق	UC
إلى	إلى	UC
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
.	.	UC
بعد	بعد	UC
سنة	سنة	UC
واحدة	واحدة	UC
عرفت	عرفت	UC
	أن	INSERT_XM
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
قبلت إلى	قبلتني	REPLACE_S
للدراسة	للدراسة	UC
	في	INSERT_XM
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
ثم	ثم	UC
رجعت	رجعت	UC
إلى	إلى	UC
بلادي	بلادي	UC
	لعمل	INSERT_XM
لإجرءات	الإجرءات	REPLACE_OH+REPLACE_OM
	للسفر	INSERT_XM
إلى	إلى	UC
السعودية	السعودية	UC
.	.	UC
بعد	بعد	UC
الإجرءات	الإجرءات	UC
سافرت	سافرت	UC
إلى	إلى	UC
السعودية	السعودية	UC
	،	INSERT_PM
أنا		DELETE_XM
وصلت	وصلت	UC
	إلى	INSERT_XM
هنا	هنا	UC
	في	INSERT_XM
سنة	السنة	REPLACE_XF
الماضي	الماضية	REPLACE_XG
ودرست	ودرست	UC
في	في	UC
معهد	معهد	UC
اللغة	اللغة	UC
العربية	العربية	UC
لغير	لغير	UC
الناطقين	الناطقين	UC
بها	بها	UC
	،	INSERT_PM
بدأت	بدأت	UC
في	في	UC
المستوى	المستوى	UC
الأول	الأول	UC
والآن	والآن	UC
أنا	أنا	UC
	في	INSERT_XM
المستوى	المستوى	UC
الثالث	الثالث	UC
وإن	وإن	UC
شاء	شاء	UC
الله	الله	UC
سوف	سوف	UC
أدخل	أدخل	UC
كلية	كلية	UC
التربية	التربية	UC
.	.	UC

الرحلة	الرحلة	UC
إلى	إلى	UC
قطر	قطر	UC
.	.	UC
كنت	كنت	UC
	قد	INSERT_XM
ذهبت	ذهبت	UC
في	في	UC
الرحلة	رحلة	REPLACE_XF
على	إلى	REPLACE_SW
قطر	قطر	UC
مع	مع	UC
الأصدقاء	الأصدقاء	UC
،	،	UC
وجلسنا	ومكثنا	REPLACE_OR
شهر	شهرا	REPLACE_XC+REPLACE_XN
كامل	كاملا	REPLACE_XC
في	في	UC
قطر	قطر	UC
،	،	UC
وزرنا	وزرنا	UC
بعض	بعض	UC
الاماكن	الأماكن	REPLACE_OH
الجميلة	الجميلة	UC
،	،	UC
كانت	كانت	UC
الرحلة	الرحلة	UC
ممتعة	ممتعة	UC
ومرتاح	ومريحة	REPLACE_OR
.	.	UC
قد	قد	UC
ذهبنا	ذهبنا	UC
في	إلى	REPLACE_SW
المتحف	المتحف	UC
	،	INSERT_PM
أنا	أنا	UC
نسيت	نسيت	UC
اسم	اسم	UC
المتحف	المتحف	UC
	،	INSERT_PM
شاهدنا	شاهدنا	UC
هناك	هناك	UC
اشياء	أشياء	REPLACE_OH
جميلة	جميلة	UC
والاثار	والآثار	REPLACE_OH
القديمة	القديمة	UC
،	،	UC
ولقينا	ولقينا	UC
بعض	بعض	UC
الاشخاص	الأشخاص	REPLACE_OH
هم		DELETE_XM
الذين	الذين	UC
يساعدون	يساعدون	UC
ويشرحون	ويشرحون	UC
في	عن	REPLACE_SW
بعض	بعض	UC
المعلومات	المعلومات	UC
التي	التي	UC
لم	لا	REPLACE_SW
نعرف لنا	نعرفها	REPLACE_S
،	،	UC
ثم	ثم	UC
بعد	بعد	UC
ذلك	ذلك	UC
نحن		DELETE_XM
ذهبنا	ذهبنا	UC
من	في	REPLACE_SW
السيارة	السيارة	UC
إلى	إلى	UC
المطعم	المطعم	UC
لتناول	لتناول	UC
الغدا	الغداء	REPLACE_OM
،	،	UC
وبعد	وبعد	UC
وصلنا	وصولنا	REPLACE_OH+REPLACE_OM
	إلى	INSERT_XM
المطعم	المطعم	UC
أخذنا	طلبنا	REPLACE_SW
الطعام	الطعام	UC
الهندي	الهندي	UC
،	،	UC
فيها	فيه	REPLACE_XG
ارز	أرز	REPLACE_OH
،	،	UC
ادس	عدس	REPLACE_OR
،	،	UC
خبر	خبر	UC
وسامون	السمون	REPLACE_OR
الهندية ن	الهندي ،	UNK
بعد	بعد	UC
الطعام	الطعام	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
الفندق	الفندق	UC
ونستريح	واسترحنا	REPLACE_MT
هناك	هناك	UC
حتى	حتى	UC
العصر	العصر	UC
ونصلي	وصلينا	REPLACE_MT
صلاة	صلاة	UC
العصر	العصر	UC
في	في	UC
الفندق	الفندق	UC
ثم	ثم	UC
ذهبنا	ذهبنا	UC
على	إلى	REPLACE_SW
شاطئ	شاطئ	UC
البحر	البحر	UC
،	،	UC
هناك	هناك	UC
رأينا	رأينا	UC
بعض	بعض	UC
أشياء	الأشياء	REPLACE_XF
جميلة	الجميلة	REPLACE_XF
ولطيفة	واللطيفة	REPLACE_XF
وأمارسنا	ومارسنا	REPLACE_OD
الرياضة	الرياضة	UC
ساعة	ساعة	UC
واحدة	واحدة	UC
،	،	UC
ثم	ثم	UC
رجعنا	رجعنا	UC
على	إلى	REPLACE_SW
الفندق	الفندق	UC
،	،	UC
وغسلنا	واغتسلنا	REPLACE_OH+REPLACE_OM
وغير	وغيرنا	REPLACE_MI
الملابس	الملابس	UC
وشاهدنا	وشاهدنا	UC
الاخبار	أخبار	REPLACE_OH+REPLACE_XF
العالم	العالم	UC
عبر	عبر	UC
الانترنيت	الإنترنيت	REPLACE_OH
نصف	نصف	UC
ساعة	ساعة	UC
.	.	UC
والحمد	والحمد	UC
الله	الله	UC
نحن	نحن	UC
قينا	قضينا	REPLACE_OM
الوقت	الوقت	UC
في	في	UC
الرحلة	الرحلة	UC
ممتعة	بمتعة	REPLACE_OR
ومرتاحة	وراحة	REPLACE_OD
.	.	UC
ثم	ثم	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
بلدنا	بلدنا	UC
بعد	بعد	UC
الشهر	شهر	REPLACE_XF
.	.	UC

رحلة	رحلة	UC
للعمرة	للعمرة	UC
	.	INSERT_PM
انا		DELETE_XM
ذهبت	ذهبت	UC
	أنا	INSERT_XM
الى	إلى	REPLACE_OH
المكة	مكة	REPLACE_XF
مع	مع	UC
أسرتى	أسرتي	REPLACE_OA
فى	في	REPLACE_OA
اسبوع	الأسبوع	REPLACE_OM
الماضى	الماضي	REPLACE_OA
للعمرة	للعمرة	UC
	،	INSERT_PM
نحن	نحن	UC
خرجنا	خرجنا	UC
من	من	UC
البيت	البيت	UC
قبل	قبل	UC
العشاء	العشاء	UC
.	.	UC
كانت	كانت	UC
الرحلة	الرحلة	UC
سعيدة	سعيدة	UC
.	،	REPLACE_PC
سفرنا	سافرنا	REPLACE_OH+REPLACE_OM
بالطائرة	بالطائرة	UC
	،	INSERT_PM
اذا	فإذا	REPLACE_SW
وصلنا	وصلنا	UC
عند	عند	UC
الكعبة	الكعبة	UC
شعرنا	شعرنا	UC
بالسرور	بالسرور	UC
	،	INSERT_PM
نطوف	طفنا	REPLACE_MT
حول	حول	UC
الكعبة	الكعبة	UC
سبعة	سبعة	UC
اشواط	أشواط	REPLACE_OH
	،	INSERT_PM
بعد	بعد	UC
ذلك	ذلك	UC
صلينا	صلينا	UC
ركعتين	ركعتين	UC
خلف	خلف	UC
مقام	مقام	UC
ابراهيم	إبراهيم	REPLACE_OH
	،	INSERT_PM
ونسعى	وسعينا	REPLACE_MT
سبعة	سبعة	UC
اشواط	أشواط	REPLACE_OH
من	من	UC
الصفاء	الصفا	REPLACE_OD
الى	إلى	REPLACE_OH
المروة	المروة	UC
	،	INSERT_PM
ورجعنا	ورجعنا	UC
الى	إلى	REPLACE_OH
الفندق	الفندق	UC
الذى	الذي	REPLACE_OA
كان	كان	UC
قريب	قريبا	REPLACE_XC
من	من	UC
الحرم	الحرم	UC
الشريف	الشريف	UC
	،	INSERT_PM
واسترحنا	واسترحنا	UC
اربع	أربع	REPLACE_OH
ساعات	ساعات	UC
بعده	بعدها	REPLACE_MI
سفرنا	سافرنا	REPLACE_OH+REPLACE_OM
الى	إلى	REPLACE_OH
المدينة	المدينة	UC
للزيارة	لزيارة	REPLACE_OD
المسجد	المسجد	UC
النبوى	النبوي	REPLACE_OA
	،	INSERT_PM
وذهبنا	وذهبنا	UC
الي	إلى	REPLACE_SW
المدينة	المدينة	UC
بالحافلة	بالحافلة	UC
	،	INSERT_PM
ولكن	ولكن	UC
وجدنا	وجدنا	UC
الصعوبة	صعوبة	REPLACE_XF
في	في	UC
هذا	هذا	UC
السفر	السفر	UC
لان	لأن	REPLACE_OH
في	في	UC
الطريق	الطريق	UC
كان	كان	UC
ازدحام	ازدحام	UC
كثي	كثير	REPLACE_OM
	،	INSERT_PM
وايضا	وأيضا	REPLACE_OH
ما	ما	UC
وجدنا	وجدنا	UC
المكان	مكانا	REPLACE_XF
في	في	UC
المدينة	المدينة	UC
لكى	لكي	REPLACE_OA
نسكن	نسكن	UC
ومضينا	وقضينا	REPLACE_OR
طول	طول	UC
اليل	الليل	REPLACE_OM
في	في	UC
المسجد	المسجد	UC
النبوى	النبوي	REPLACE_OA
	،	INSERT_PM
بعد	بعد	UC
الصلوة	صلاة	REPLACE_XF
الفجر	الفجر	UC
زرنا	زرنا	UC
المقامات	المقامات	UC
المقدسة	المقدسة	UC
مثل	مثل	UC
بئر	بئر	UC
عثمان	عثمان	UC
،	،	UC
جنت	مقبرة	REPLACE_SW
البقيع	البقيع	UC
،	،	UC
رياض	رياض	UC
الجنة	الجنة	UC
	،	INSERT_PM
وادئ	وادي	REPLACE_OR
البيضاء	البيضاء	UC
وجبل	وجبل	UC
احد	أحد	REPLACE_OH
	،	INSERT_PM
ورجعنا	ورجعنا	UC
الي	إلى	REPLACE_SW
البيت	البيت	UC
بالمطار	بالقطار	REPLACE_OR
الحمد	الحمد	UC
لله	لله	UC
رجعنا	رجعنا	UC
بسلامة	بسلامة	UC
وبالسرور	وسرور	REPLACE_XF+REPLACE_XT
	.	INSERT_PM

رحلتي	رحلتي	UC
في	في	UC
بلدي	بلدي	UC
حتى	حتى	UC
على	إلى	REPLACE_SW
السعودية	السعودية	UC
.	.	UC
السلام	السلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
.	.	UC
أتحدث	أتحدث	UC
عن	عن	UC
رحلتي	رحلتي	UC
منذ	منذ	UC
	أن	INSERT_XM
كنت	كنت	UC
في	في	UC
بلدي	بلدي	UC
،	،	UC
فلما	فلما	UC
سمعت	سمعت	UC
إسمي	اسمي	REPLACE_OH
من	من	UC
أسماء	أسماء	UC
المقبولين	المقبولين	UC
في	في	UC
هذه	هذه	UC
الجامعة	الجامعة	UC
	-	INSERT_PM
	جامعة	INSERT_XM
الملك	الملك	UC
سعود	سعود	UC
	-	INSERT_PM
كنت	كنت	UC
مسرورا	مسرورا	UC
جدا	جدا	UC
جدا	جدا	UC
.	.	UC
وبعد	وبعد	UC
هذه	هذه	UC
الأيام	الأيام	UC
قد	قد	UC
اختمت	ختمت	REPLACE_OD
الأوراقي	الأوراق	REPLACE_OD+REPLACE_OG
حتى	حتى	UC
ذهبت	ذهبت	UC
هنا	هنا	UC
في	في	UC
السعودية	السعودية	UC
،	،	UC
يعني	يعني	UC
في	في	UC
الطريق	الطريق	UC
مررت	مررت	UC
البلدان	بالبلدان	REPLACE_XM
الجميلة	الجميلة	UC
جدا	جدا	UC
	،	INSERT_PM
وعجبت	وعجبت	UC
من	من	UC
بعدها	بعدها	UC
لانني	لأنني	REPLACE_OH
أول	أول	UC
مرة	مرة	UC
	أراها	INSERT_XM
،	،	UC
لما	لما	UC
وصلت	وصلت	UC
هنا	هنا	UC
في	إلى	REPLACE_SW
السعودية	السعودية	UC
مازال		DELETE_XM
كنت	كنت	UC
	مازلت	INSERT_XM
سعيدا	سعيدا	UC
حتى	حتى	UC
وصلت	وصلت	UC
في	إلى	REPLACE_SW
سكن	سكن	UC
الجامعة	الجامعة	UC
.	.	UC
وبعدها	وبعدها	UC
هذه	هذه	UC
الأيام	الأيام	UC
سمعت	سمعت	UC
أن	أن	UC
مسؤول	مسؤولي	REPLACE_XN
الأنشطة	الأنشطة	UC
سيرتحلون	سيرتحلون	UC
إلى	إلى	UC
الدمام	الدمام	UC
حتى	حتى	UC
تابعت	تابعت	UC
اليهم	إليهم	REPLACE_OH
إلى	إلى	UC
الدمام	الدمام	UC
،	،	UC
يعني	يعني	UC
في	في	UC
الدمام	الدمام	UC
هناك	هناك	UC
منطقة	منطقة	UC
جميلة	جميلة	UC
في	على	REPLACE_SW
شاطئ	شاطئ	UC
البحر	البحر	UC
وماشينا	ومشينا	REPLACE_OD
هناك	هناك	UC
.	،	REPLACE_PC
كننا	مكثنا	REPLACE_OM+REPLACE_OR
ثلاث	ثلاثة	REPLACE_OM
أيام	أيام	UC
في	في	UC
الدمام	الدمام	UC
حتى	حتى	UC
عدنا	عدنا	UC
إلى	إلى	UC
الجامعة	الجامعة	UC
.	.	UC
تمت	تمت	UC
الرحلة	الرحلة	UC
شكرا	شكرا	UC
	.	INSERT_PM

تخصصي	تخصصي	UC
في	في	UC
المستقبل	المستقبل	UC
لكل	. كل	REPLACE_MI+REPLACE_PM
واحد	واحد	UC
منا	منا	UC
له	له	UC
رغباته	رغباته	UC
وميوله	وميوله	UC
الشخصية	الشخصية	UC
التي	التي	UC
تدفعه	تدفعه	UC
إلى	إلى	UC
اختيار	اختيار	UC
تخصص	تخصص	UC
ما	ما	UC
لضمان	لضمان	UC
نجاح	نجاح	UC
مستقبله	مستقبله	UC
.	.	UC
فكذلك	وكذلك	REPLACE_MI
أنا	أنا	UC
.	.	UC
اسمي	اسمي	UC
#	#	UC
معلومة	معلومة	UC
شخصية	شخصية	UC
محذوفة	محذوفة	UC
#	#	UC
وأنا	وأنا	UC
طالب	طالب	UC
في	في	UC
المستوى	المستوى	UC
الثالث	الثالث	UC
بمعهد	بمعهد	UC
اللغة	اللغة	UC
